task,family,model,input,label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_per_seed
intensity_3,tfidf,tfidf_word_logreg_raw,raw,2,0.5086002199404261,0.005676132396788184,0.48666666666666664,0.025166114784235832,0.497233378558173,0.015444979010799016,100
intensity_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,0.5677202128815032,0.03344628317660262,0.6707317073170732,0.021122570824010718,0.6148066298342542,0.02739975025826101,82
intensity_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,0.6794575396625957,0.009057066096561261,0.6338028169014084,0.01692747077682625,0.6558134978940151,0.013121930218017771,213
intensity_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,2,0.5,0.02525252525252527,0.49666666666666665,0.025166114784235846,0.4983249581239531,0.025167469348939254,100
intensity_5,baseline,majority_baseline,none,1,0.3360655737704918,0.0,1.0,0.0,0.5030674846625767,0.0,82
intensity_5,baseline,majority_baseline,none,2,0.0,0.0,0.0,0.0,0.0,0.0,38
intensity_5,baseline,majority_baseline,none,3,0.0,0.0,0.0,0.0,0.0,0.0,67
intensity_5,baseline,majority_baseline,none,4,0.0,0.0,0.0,0.0,0.0,0.0,36
intensity_5,baseline,majority_baseline,none,5,0.0,0.0,0.0,0.0,0.0,0.0,21
intensity_5,baseline,stratified_random_baseline,none,1,0.37057589648110695,0.034788541587212264,0.3658536585365854,0.05588506945068097,0.36798637967628944,0.045309614509286736,82
intensity_5,baseline,stratified_random_baseline,none,2,0.12270583238325174,0.042970259011605116,0.11403508771929823,0.040198032411893334,0.1179547023025284,0.041075959679210766,38
intensity_5,baseline,stratified_random_baseline,none,3,0.29836744639376217,0.030689423635374555,0.3134328358208955,0.025851504590580266,0.3053330143230742,0.025607487652775453,67
intensity_5,baseline,stratified_random_baseline,none,4,0.15405405405405406,0.025967403852129235,0.1574074074074074,0.042431256434776306,0.15541371559438483,0.034176269614477034,36
intensity_5,baseline,stratified_random_baseline,none,5,0.09696969696969697,0.05027472734253653,0.09523809523809523,0.047619047619047616,0.09604840234448857,0.048850789391065755,21
intensity_5,tfidf,tfidf_char_logreg_raw,raw,1,0.6830439030347438,0.011464789284898799,0.8577235772357724,0.014081713882673819,0.7603761582484987,0.006397084279894335,82
intensity_5,tfidf,tfidf_char_logreg_raw,raw,2,0.5333333333333333,0.06344961866675482,0.2982456140350877,0.08459342772800839,0.38095238095238093,0.08432382877824923,38
intensity_5,tfidf,tfidf_char_logreg_raw,raw,3,0.4283165927001544,0.015709488392283207,0.47761194029850745,0.029850746268656705,0.4515647866711696,0.02191894950040139,67
intensity_5,tfidf,tfidf_char_logreg_raw,raw,4,0.3633903133903134,0.0506736224083788,0.28703703703703703,0.01603750747748961,0.31866835105862074,0.011659774377527035,36
intensity_5,tfidf,tfidf_char_logreg_raw,raw,5,0.5211538461538462,0.11349412830522689,0.3968253968253968,0.07273929674533078,0.4475163829539726,0.08127672893411474,21
intensity_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,1,0.6571808124208647,0.013671763663704968,0.8252032520325203,0.007040856941336898,0.7315917090867425,0.007883134922892072,82
intensity_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2,0.38339371980676323,0.12991547353279367,0.28947368421052627,0.12059409723567999,0.32860357257657163,0.12613292371634383,38
intensity_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,3,0.37505612666902993,0.017517415855821537,0.36815920398009955,0.037561365349605726,0.37134457801577136,0.02730932528122839,67
intensity_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,4,0.32368637110016424,0.04611379708263744,0.25925925925925924,0.01603750747748961,0.2862044059227158,0.012182776225803063,36
intensity_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,5,0.41798941798941797,0.03304231745184338,0.34920634920634913,0.0549857399228215,0.378021978021978,0.03379505522247851,21
intensity_5,tfidf,tfidf_word_linearsvc_raw,raw,1,0.712310161748364,0.019091507596207393,0.7845528455284553,0.014081713882673796,0.7466675680852742,0.01648284039842686,82
