n,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,linear_weighted_kappa,quadratic_weighted_kappa,mae,task,family,model,input,seed,evaluation_unit
1497,0.8577154308617234,0.8600051424714574,0.8562332471408829,0.8559504620888804,0.7166518710461703,,,,applicability,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
1497,0.8557114228456913,0.8580133275718607,0.8541883116883118,0.8538996174166515,0.7126684569054225,,,,applicability,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
1497,0.87374749498998,0.8753182797004511,0.8732261459732152,0.8730686551244008,0.748215062796507,,,,applicability,tfidf,tfidf_word_linearsvc_raw,raw,7,all OOF predictions pooled once per item within seed
1497,0.8724114896459586,0.8740853364569086,0.8717927103169995,0.8716201660810395,0.7456031944737314,,,,applicability,tfidf,tfidf_word_linearsvc_raw,raw,42,all OOF predictions pooled once per item within seed
1497,0.8717434869739479,0.87330057388553,0.871224883332497,0.871066572747212,0.74421187526698,,,,applicability,tfidf,tfidf_word_linearsvc_raw,raw,2026,all OOF predictions pooled once per item within seed
1497,0.8610554442217769,0.8622978276629253,0.8607421930904199,0.8606142454452178,0.7227244555576927,,,,applicability,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
1497,0.8537074148296593,0.8549340942286472,0.8533868429490692,0.8532540345985389,0.7080533057869638,,,,applicability,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
1497,0.8603874415497662,0.8615130650915467,0.8601475528179638,0.8600353467982498,0.7213266317693678,,,,applicability,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
1497,0.8650634602538411,0.8674724395670325,0.8634844304154056,0.8632000088917122,0.7313471820212261,,,,applicability,tfidf,tfidf_word_logreg_raw,raw,7,all OOF predictions pooled once per item within seed
1497,0.8617234468937875,0.8641700086779206,0.860043728572119,0.8597467052103603,0.7247186369850783,,,,applicability,tfidf,tfidf_word_logreg_raw,raw,42,all OOF predictions pooled once per item within seed
1497,0.8603874415497662,0.8628593926884055,0.8586493591686835,0.8583457182707834,0.7220732336713928,,,,applicability,tfidf,tfidf_word_logreg_raw,raw,2026,all OOF predictions pooled once per item within seed
1497,0.8590514362057449,0.8612639766303241,0.8576978888521971,0.8574290335559445,0.7192690099799228,,,,applicability,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
1497,0.8563794255177021,0.858642744651294,0.8549228333083165,0.8546412254811687,0.7139765835018106,,,,applicability,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
1497,0.8590514362057449,0.8613157584609725,0.8576219433863013,0.8573455747745421,0.719297949390149,,,,applicability,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
1497,0.9064796259185037,0.9073506986975977,0.906409422826848,0.9063597669815305,0.8132275330314032,,,,applicability,transformer,bertimbau_weighted,raw,7,all OOF predictions pooled once per item within seed
1497,0.9044756179024717,0.9054624474592977,0.9043689348579791,0.9043070586921734,0.8092696291346475,,,,applicability,transformer,bertimbau_weighted,raw,42,all OOF predictions pooled once per item within seed
1497,0.8997995991983968,0.9009270733266433,0.8996329484626029,0.899553721063619,0.7999900239958528,,,,applicability,transformer,bertimbau_weighted,raw,2026,all OOF predictions pooled once per item within seed
395,0.5392405063291139,0.3333333333333333,0.23355263157894737,0.37782311792138573,0.0,0.0,0.0,0.4607594936708861,intensity_3,baseline,majority_baseline,none,7,all OOF predictions pooled once per item within seed
395,0.5392405063291139,0.3333333333333333,0.23355263157894737,0.37782311792138573,0.0,0.0,0.0,0.4607594936708861,intensity_3,baseline,majority_baseline,none,42,all OOF predictions pooled once per item within seed
395,0.5392405063291139,0.3333333333333333,0.23355263157894737,0.37782311792138573,0.0,0.0,0.0,0.4607594936708861,intensity_3,baseline,majority_baseline,none,2026,all OOF predictions pooled once per item within seed
395,0.38734177215189874,0.3357215924271919,0.33500777094263895,0.39229143387097604,0.0013268280451749215,0.00759893156553848,0.015663937344250756,0.7215189873417721,intensity_3,baseline,stratified_random_baseline,none,7,all OOF predictions pooled once per item within seed
395,0.3620253164556962,0.2978148020916829,0.2976552461605863,0.3655548612397654,-0.04676474609066905,-0.07208008898776419,-0.10484622870715077,0.7721518987341772,intensity_3,baseline,stratified_random_baseline,none,42,all OOF predictions pooled once per item within seed
395,0.41012658227848103,0.3449276689949998,0.34551198154723156,0.4056712261366681,0.004488912925905919,0.024781882309262926,0.0519086176980913,0.6734177215189874,intensity_3,baseline,stratified_random_baseline,none,2026,all OOF predictions pooled once per item within seed
395,0.6227848101265823,0.6166330775983816,0.6059747369365731,0.6223392459591567,0.38336214573838334,0.43729704380756873,0.5067865362679788,0.40759493670886077,intensity_3,tfidf,tfidf_char_logreg_raw,raw,7,all OOF predictions pooled once per item within seed
395,0.6354430379746835,0.6404950570632467,0.6225414303192082,0.6353224110186135,0.41168561174146445,0.46159589522759437,0.5250126492446594,0.39746835443037976,intensity_3,tfidf,tfidf_char_logreg_raw,raw,42,all OOF predictions pooled once per item within seed
395,0.6227848101265823,0.6259017519752662,0.6089459770674192,0.6237746560759555,0.3924519732020275,0.4357191712625864,0.49059617562533964,0.4177215189873418,intensity_3,tfidf,tfidf_char_logreg_raw,raw,2026,all OOF predictions pooled once per item within seed
395,0.6303797468354431,0.6188278178556433,0.6093201754385964,0.6296502331778814,0.3937386989613557,0.4380623821887113,0.49536546250237834,0.4050632911392405,intensity_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
